application_mode,daytime_evening_attendance_t,application_order,previous_qualification,previous_qualification_grade,admission_grade
17,1,5,1,122.0,127.3
15,1,1,1,160.0,142.5
1,1,5,1,122.0,124.8
17,1,2,1,122.0,119.6
39,0,1,1,100.0,141.5
39,0,1,19,133.1,114.8
1,1,1,1,142.0,128.4
18,1,4,1,119.0,113.1
1,1,3,1,137.0,129.3
1,1,1,1,138.0,123.0
1,1,1,1,139.0,130.6
1,1,1,1,136.0,119.3
1,1,2,1,133.0,130.2
53,1,1,42,110.0,111.8
1,1,1,1,149.0,137.1
1,1,1,1,127.0,120.7
18,1,1,1,137.0,137.4
17,1,2,1,135.0,127.3
1,1,1,1,137.0,136.3
1,1,1,1,140.0,124.6
1,1,3,1,122.0,120.3
18,1,4,1,127.0,121.8
1,1,4,1,142.0,125.5
1,1,4,1,125.0,114.9
1,1,1,1,126.0,123.9
1,1,1,1,151.0,157.0
17,1,2,1,115.0,116.4
1,1,1,1,138.0,131.0
1,1,1,1,135.0,122.1
17,1,2,1,127.0,118.8
44,1,1,39,150.0,150.0
51,1,1,1,125.0,130.0
1,1,1,1,143.0,138.8
18,0,1,1,138.0,134.5
1,0,1,1,130.0,131.4
39,1,1,1,130.0,102.5
39,1,1,10,133.1,128.8
43,1,1,1,140.0,122.9
39,0,1,1,120.0,113.9
44,1,1,39,120.0,120.0
1,1,5,1,126.0,121.1
1,1,2,1,133.0,120.4
1,1,6,1,103.0,100.6
17,1,1,1,120.0,121.4
39,0,1,1,133.1,109.7
17,0,1,1,154.0,134.1
17,1,2,1,130.0,127.6
17,1,6,1,132.0,132.4
44,0,1,39,130.0,133.4
1,1,1,1,139.0,126.1
39,1,1,1,130.0,113.5
1,1,1,1,139.0,121.3
1,1,1,1,127.0,121.8
1,1,3,1,167.0,159.3
39,0,1,1,130.0,120.0
1,1,1,1,130.0,129.1
7,1,1,3,130.0,130.0
39,1,1,40,129.0,155.3
17,1,1,1,141.0,139.8
1,1,3,1,125.0,115.2
1,1,2,1,125.0,114.9
44,1,1,39,130.0,131.9
17,1,3,1,133.0,126.0
17,1,1,1,127.0,130.2
43,1,1,1,116.0,120.9
42,1,1,19,133.1,126.0
1,1,3,1,139.0,128.2
44,1,1,39,130.0,130.0
1,1,3,1,125.0,120.1
39,1,1,1,160.0,100.0
17,1,1,1,148.0,134.0
17,1,1,1,150.0,130.8
1,1,1,1,141.0,135.8
17,1,4,1,118.0,111.7
1,1,2,1,142.0,132.9
17,1,3,1,120.0,115.5
18,1,4,1,106.0,106.0
17,1,4,1,121.0,120.3
17,1,4,1,150.0,130.8
39,0,1,1,120.0,117.0
1,1,6,1,114.0,110.2
39,0,1,2,140.0,155.7
39,1,1,4,160.0,180.4
17,1,1,1,120.0,125.5
39,0,1,1,130.0,110.0
42,1,1,1,160.0,161.0
39,1,1,1,120.0,100.0
17,1,1,1,124.0,117.6
1,1,6,1,143.0,128.7
43,1,2,1,115.0,112.2
39,1,1,1,133.1,100.8
17,1,2,1,133.1,105.0
15,1,1,1,133.1,100.0
39,1,1,10,133.1,115.5
39,0,1,1,133.1,114.0
15,1,1,1,130.0,137.0
1,1,5,1,135.0,124.9
1,1,5,1,132.0,120.3
1,1,1,1,135.0,134.3
1,1,4,1,115.0,111.5
53,1,1,42,130.0,128.8
1,1,4,1,133.1,110.0
39,0,1,1,130.0,113.5
39,1,1,12,133.1,160.0
18,1,1,1,123.0,117.4
51,1,1,1,130.0,122.2
1,1,2,1,122.0,118.2
1,1,1,1,113.0,106.7
1,1,5,1,111.0,108.2
17,1,2,1,133.1,107.0
1,1,1,1,142.0,136.1
17,1,2,1,123.0,115.3
1,1,1,1,131.0,139.8
1,1,3,1,158.0,157.0
17,1,2,1,122.0,131.0
43,1,1,1,130.0,100.0
17,1,1,1,154.0,140.4
17,1,1,1,120.0,113.4
1,1,2,1,140.0,137.0
1,1,1,1,127.0,121.8
17,1,1,1,133.1,131.0
1,1,2,1,120.0,118.6
1,1,1,1,137.0,122.3
1,1,1,1,131.0,127.9
1,1,1,1,130.0,121.3
17,1,6,1,122.0,117.1
44,1,1,39,160.0,160.0
1,1,1,1,146.0,145.3
17,1,3,1,131.0,122.6
17,1,6,1,132.0,128.0
1,1,3,1,138.0,124.9
17,1,2,1,130.0,123.7
1,1,4,1,126.0,120.1
17,1,6,1,148.0,131.7
43,1,1,1,130.0,133.2
1,1,1,1,117.0,109.3
17,1,1,1,120.0,113.0
1,1,1,1,153.0,157.9
1,1,2,1,117.0,112.1
18,1,1,1,178.0,174.7
1,1,5,1,129.0,128.8
1,1,6,1,116.0,110.1
51,1,1,1,99.0,99.7
1,1,3,1,135.0,121.0
1,1,3,1,141.0,131.7
17,1,5,1,132.0,119.1
1,1,4,1,132.0,124.7
17,1,1,1,113.0,117.2
1,1,1,1,134.0,128.8
1,1,1,1,136.0,131.5
1,1,1,1,136.0,121.7
1,1,1,1,129.0,123.4
17,1,1,1,138.0,124.7
1,1,1,1,137.0,132.8
43,1,1,1,115.0,108.7
1,1,1,1,129.0,138.1
1,1,1,1,131.0,126.5
17,1,2,1,133.0,127.4
1,1,3,1,125.0,123.6
39,0,1,1,120.0,122.0
1,1,1,1,128.0,118.2
1,1,1,1,127.0,123.9
1,1,2,1,134.0,125.8
17,1,5,1,132.0,123.3
17,1,2,1,124.0,124.4
17,1,1,1,133.1,126.0
39,1,1,1,170.0,170.0
17,1,3,1,125.0,121.5
39,1,1,3,130.0,130.0
43,1,1,1,125.0,117.0
39,1,1,1,130.0,130.0
17,1,2,1,133.1,108.0
17,1,1,1,131.0,132.3
42,0,1,1,150.0,148.0
17,1,2,1,125.0,122.6
1,1,1,1,131.0,123.0
39,1,1,1,130.0,102.5
1,1,2,1,123.0,113.3
1,1,5,1,141.0,133.0
7,1,1,3,140.0,140.0
43,1,1,1,140.0,128.3
44,0,1,39,140.0,140.0
39,1,1,19,133.1,104.0
18,1,3,1,131.0,122.3
17,1,2,1,143.0,135.0
18,1,2,1,132.0,119.1
43,1,1,1,143.0,126.6
17,1,3,1,141.0,129.0
39,1,1,1,133.1,162.3
17,1,4,1,148.0,163.4
1,1,1,1,125.0,121.5
1,0,1,1,120.0,122.8
39,1,1,1,140.0,118.0
51,1,1,1,139.0,134.0
1,1,4,1,142.0,129.8
39,0,1,40,130.0,152.0
18,1,6,1,126.0,122.8
7,1,1,3,150.0,150.0
1,1,1,1,130.0,131.8
